,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
AC004381.2,0.148928162,-0.020174136,-0.046083684,0.031396249,-0.112244652
AC004409.1,0.131089908,0.098716913,-0.001467553,0.032099523,0.254449046
AC004690.2,-0.061322455,0.189834336,0.047535882,-0.033673684,0.195860716
AC004797.1,-0.072935606,-0.324767471,0.151716777,-0.287746849,-0.377267172
AC004863.6,0.397049848,-0.1124821,0.255900516,-0.104407105,0.030138967
AC004980.7,-0.190878382,0.127793732,-0.072111971,0.074259113,0.076466361
AC005014.1,0.324571805,-0.158548598,0.086616888,0.085556941,0.226180763
AC005041.9,-0.214608332,0.081250513,-0.123392947,0.027766078,-0.077155711
AC005077.3,-0.305999952,0.067746086,-0.113746531,0.13635791,0.008443188
AC005152.2,0.395432533,-0.140858619,0.051355558,0.010745353,-0.051164148
AC005277.1,-0.174356244,0.048740907,0.06258401,0.123857097,0.224779288
AC005301.1,-0.15027309,0.171937195,-0.230755334,0.055941203,-0.021531174
AC005358.1,-0.067918932,-0.083233238,0.026643597,-0.093406825,-0.109810154
AC005393.1,0.268466902,-0.018532813,-0.041453329,0.07884382,0.040909214
AC005488.13,-0.087402241,0.211385522,-0.07827845,0.187222577,0.151123314
AC005512.1,-0.142956901,0.085217631,0.01088441,-0.000111778,0.213728386
AC005551.1,0.416054697,-0.162340626,0.386143123,-0.248275654,0.088219843
AC005829.1,0.099684943,-0.083543224,-0.016122133,-0.159423952,-0.171399214
AC005840.2,-0.072151832,-0.020803313,-0.019051053,-0.032235191,0.041855746
AC005921.3,-0.059011896,-0.020979682,-0.075246571,0.054177181,-0.131776424
AC005962.2,-0.228968268,-0.087640238,-0.032730286,-0.268189745,-0.528430835
AC006014.8,0.150459472,-0.200062068,-0.022539967,-0.036339061,-0.339088192
AC006273.1,0.407148311,-0.091721624,0.07133422,0.028142868,-0.023595341
AC006276.1,0.221912653,-0.370500602,0.072913797,-0.281314399,-0.43326601
AC006517.3,0.211846338,-0.050577854,0.18482394,0.112455984,0.36846758
AC007276.5,-0.196307378,0.072396447,-0.132877848,0.046717906,-0.075661005
AC007364.1,-0.176259955,-0.090018696,0.167484219,-0.148553864,-0.115051909
AC007405.8,0.293221157,-0.103797622,-0.052005466,0.125075344,-0.087076867
AC007510.1,0.121209484,0.006388433,0.08122527,-0.052030285,0.156085096
AC007601.1,0.436512228,-0.087635663,0.215116422,-0.090091478,0.067020757
AC007688.2,0.455734062,-0.121006921,0.12412077,0.036431646,0.048959954
AC007743.1,0.076101942,-0.014023969,0.061452161,-0.024426759,0.003905579
AC007952.2,0.025767904,-0.043561572,-0.062208894,0.023578689,-0.052421523
AC008026.2,-0.045150771,-0.257568558,-0.084202986,-0.137305177,-0.43979759
AC008073.1,0.212482023,-0.080904242,0.019860949,0.11458523,0.059179788
AC008073.2,0.004718641,0.062670229,-0.071737155,0.120923862,0.057783322
AC008074.2,0.091274001,0.018355524,-0.107664518,0.043208601,-0.157759057
AC008132.4,-0.332934612,0.098839151,-0.159835483,-0.085656692,-0.332911601
AC008429.1,0.292938557,-0.035092459,0.122405355,-0.037148131,0.122909926
AC008449.1,-0.128420046,0.192172572,-0.150430871,0.123018616,0.010400903
AC008537.3,-0.321340601,0.355609857,-0.170528765,0.503097583,0.549251447
AC008687.3,0.062070316,-0.035007171,-0.067532559,0.099335579,-0.152207745
AC008735.3,0.255073799,-0.153247707,0.119835743,-0.074385204,-0.102135838
AC008806.1,-0.034863549,-0.066886361,-0.015622366,-0.08046574,-0.054058086
AC008875.1,0.149875611,-0.113311082,0.085517747,-0.071748995,-0.017217993
AC008969.2,-0.33368913,0.032456683,-0.185812408,0.033349355,-0.216092067
AC009086.2,-0.266968745,0.040457034,-0.211218071,0.086330076,-0.057895586
AC009093.1,0.173093874,-0.156381815,0.040366271,-0.021308764,-0.064082721
AC009107.3,0.165861717,-0.127192437,0.008543412,-0.05762302,-0.171759271
AC009123.1,0.063916385,-0.15681103,-0.068340424,-0.172641103,-0.260624417
AC009139.1,0.085515956,-0.141187916,0.120642255,-0.121904526,-0.080829567
AC009163.1,0.062226556,0.010598857,-0.027879215,-0.005306661,-0.047838673
AC009171.1,0.298387101,-0.060355384,0.274888712,-0.128045412,0.056684097
AC009236.1,0.196388395,-0.252701129,0.308655092,-0.118158226,0.270584565
